text,label
"I spent Sunday morning gardening and later cooked dinner with my family. We laughed and planned a short hiking trip for next week.",Normal
"Work has been fulfilling lately and I feel balanced. In the evenings I read novels before getting a solid night of sleep.",Normal
"I met neighbors for a block party, played board games, and enjoyed staying connected with the community.",Normal
"My routine includes exercise, meal prepping, and journaling. I feel calm and optimistic about upcoming projects.",Normal
"I unwind by painting landscapes and listening to mellow playlists. It keeps me relaxed and centered.",Normal
"I feel steady during meetings at work and make time for tea breaks to keep a healthy rhythm.",Normal
"Morning yoga, chatting with friends, and cooking new recipes help me stay grounded and content.",Normal
"I enjoy commuting on my bike, greeting familiar faces, and ending the day with a favorite podcast.",Normal
"Weekly volunteering at the animal shelter gives me purpose and keeps my mood positive.",Normal
"I hosted a game night, cleaned the apartment, and caught up on my reading list. Everything feels balanced.",Normal
"My heart keeps racing and I worry that something terrible is about to happen even though nothing is wrong.",Anxiety
"Before bed my mind spins with worst-case scenarios, making it hard to breathe steadily or relax.",Anxiety
"I obsessively check if the stove is off because I fear I might hurt someone without noticing.",Anxiety
"Public transit makes me jittery; I keep replaying embarrassing memories and fear judgment everywhere.",Anxiety
"Whenever the phone rings I panic, convinced the call brings bad news or tragedy.",Anxiety
"I clasp my hands so tightly during meetings because I worry about saying something foolish.",Anxiety
"Even on weekends I cannot calm down; my stomach knots as I await problems that never show up.",Anxiety
"My thoughts spiral into what-if catastrophes whenever my partner is late returning home.",Anxiety
"Small decisions like choosing dinner feel paralyzing because I fear every choice might be disastrous.",Anxiety
"I constantly monitor my breathing, convinced I'm seconds away from losing control.",Anxiety
"My supervisor dumped six urgent tasks on me and I can feel the pressure pounding behind my eyes.",Stress
"Deadlines overlap with family commitments; I’m stretched so thin that I can’t sleep without worrying about unfinished work.",Stress
"I juggle two jobs and caregiving duties, barely finding time to eat. My shoulders tense from the strain.",Stress
"Every ping from my inbox makes me flinch because I expect another request I cannot manage.",Stress
"I grind my teeth while previewing tomorrow’s agenda; it feels like a weight pressing down on my chest.",Stress
"I zone out during conversations because I’m mentally reciting lists of obligations I still owe people.",Stress
"Traffic delays, angry clients, and financial strain have me clenching my jaw all day long.",Stress
"Balancing school, part-time work, and childcare leaves me exhausted before noon.",Stress
"My smartwatch keeps warning about high stress levels while I rush between meetings.",Stress
"My calendar is so packed that even five quiet minutes feel impossible.",Stress
"Lately I wake up wishing I could stay asleep because facing each day feels pointless and heavy.",Depression
"I skip showers and ignore messages because I can barely gather the energy to move.",Depression
"Food tastes bland and I no longer find joy in music, art, or time with friends.",Depression
"I cry silently in the bathroom at work and pretend everything is fine when I return to my desk.",Depression
"It feels like I’m wading through mud; even washing dishes is overwhelming.",Depression
"My thoughts insist that nothing will improve, so I hide under blankets for hours.",Depression
"I stare at the ceiling most nights wondering whether anyone would notice if I disappeared.",Depression
"I stopped attending hobbies I once loved because the motivation has completely vanished.",Depression
"My friends invite me out but I decline, fearing I’ll drag everyone down with my sadness.",Depression
"I move slowly, talk softly, and feel numb even during happy moments.",Depression
"I’ve begun writing goodbye letters and considering ways to end my life peacefully.",Suicidal
"The idea of continuing feels unbearable, and I’ve researched lethal doses late at night.",Suicidal
"I often stand near bridges imagining how quick the drop would be if I jumped.",Suicidal
"I hide sharp objects because I fear I might use them when despair peaks.",Suicidal
"I told a close friend that I don’t see the point of existing, and I meant it.",Suicidal
"I visualize overdosing on medication almost every evening when the emptiness returns.",Suicidal
"I gave away cherished belongings as if preparing to leave permanently.",Suicidal
"I reread old texts so I can remember what to say in a final message to loved ones.",Suicidal
"I search online for painless ways to die, convinced that relief only comes through ending everything.",Suicidal
"I walk around feeling detached, planning farewells nobody else can hear.",Suicidal
"My mood skyrockets for days—I barely sleep, start huge projects, and spend money wildly—then I crash into despair.",Bipolar
"During highs I talk rapidly and feel invincible; during lows I can’t leave bed for days.",Bipolar
"I alternate between planning grand ventures and feeling worthless with no warning.",Bipolar
"Friends say I seem like two different people depending on the week.",Bipolar
"I once booked spontaneous flights and quit my job without notice, then later begged for it back.",Bipolar
"I feel electric energy buzzing through me, so I pace for hours before collapsing into exhaustion.",Bipolar
"I rearrange my apartment overnight during manic bursts, then regret everything days later.",Bipolar
"I oscillate between lavish gifts for strangers and isolating from everyone.",Bipolar
"Medication helps some, but I still experience extreme highs where I believe I can control the weather.",Bipolar
"My family hides my credit cards during manic streaks to protect our finances.",Bipolar
"I worry that everyone secretly hates me, so I cling to people and then push them away violently.",Personality Disorder
"My sense of self changes daily; some mornings I feel superior, others I feel empty.",Personality Disorder
"Arguments escalate quickly because I interpret neutral comments as personal attacks.",Personality Disorder
"I switch between idolizing partners and despising them whenever I fear abandonment.",Personality Disorder
"Impulsive spending, reckless driving, and sudden tantrums leave me ashamed afterward.",Personality Disorder
"I sometimes dissociate, watching myself from far away when emotions intensify.",Personality Disorder
"People say I manipulate, but I’m terrified of being alone so I do whatever it takes to keep someone close.",Personality Disorder
"My friendships burn bright and collapse quickly because my reactions are extreme.",Personality Disorder
"I feel chronically empty, so I start conflicts just to feel something.",Personality Disorder
"Minor criticism sends me into spirals of rage or despair within minutes.",Personality Disorder
"I hear coded warnings inside the static of radios and the flicker of street lamps.",Psychotic-like
"The neighbors are actors planted by a secret agency; their blinks send signals to drones.",Psychotic-like
"When I watch television, the anchors pause to respond to my private thoughts.",Psychotic-like
"I’m certain hidden microphones in the ceiling record my every whisper.",Psychotic-like
"The clouds rearrange themselves to guide my decisions; ignoring them brings disaster.",Psychotic-like
"Strangers in the mall read my mind and repeat my thoughts out loud to test me.",Psychotic-like
"I see patterns in license plates that spell instructions only I can decode.",Psychotic-like
"Food tastes different because the cafeteria injects chemicals to control my behavior.",Psychotic-like
"I cover mirrors because my reflection belongs to an alternate version tracking me.",Psychotic-like
"The government installed chips in my teeth; I can hear them buzzing when I resist orders.",Psychotic-like

